X,Y,Z
2633565.0,1143195.0,1846.43
2633595.0,1143195.0,1836.43
2633625.0,1143195.0,1846.65
2633655.0,1143195.0,1848.36
2633685.0,1143195.0,1848.75
2633715.0,1143195.0,1849.53
2633745.0,1143195.0,1850.49
2633775.0,1143195.0,1852.55
2633805.0,1143195.0,1853.87
2633835.0,1143195.0,1855.33
2633865.0,1143195.0,1857.22
2633895.0,1143195.0,1858.66
2633925.0,1143195.0,1860.59
2633955.0,1143195.0,1862.92
2633985.0,1143195.0,1865.23
2634015.0,1143195.0,1868.48
2634045.0,1143195.0,1873.06
2633205.0,1143165.0,1892.69
2633235.0,1143165.0,1886.9
2633265.0,1143165.0,1876.47
2633295.0,1143165.0,1867.45
2633325.0,1143165.0,1856.79
2633355.0,1143165.0,1849.1
2633385.0,1143165.0,1862.39
2633415.0,1143165.0,1867.66
2633445.0,1143165.0,1862.08
2633475.0,1143165.0,1860.62
2633505.0,1143165.0,1851.43
2633535.0,1143165.0,1829.79
2633565.0,1143165.0,1832.41
2633595.0,1143165.0,1844.9
2633625.0,1143165.0,1845.67
2633655.0,1143165.0,1848.28
2633685.0,1143165.0,1848.31
2633715.0,1143165.0,1849.14
2633745.0,1143165.0,1850.4
2633775.0,1143165.0,1851.76
2633805.0,1143165.0,1853.59
2633835.0,1143165.0,1855.52
2633865.0,1143165.0,1857.4
2633895.0,1143165.0,1859.84
2633925.0,1143165.0,1862.58
2633955.0,1143165.0,1864.97
2633985.0,1143165.0,1866.34
2634015.0,1143165.0,1870.26
2634045.0,1143165.0,1873.47
2633145.0,1143135.0,1896.09
2633175.0,1143135.0,1883.39
2633205.0,1143135.0,1872.43
2633235.0,1143135.0,1863.57
2633265.0,1143135.0,1856.61
2633295.0,1143135.0,1848.8
2633325.0,1143135.0,1841.78
2633355.0,1143135.0,1849.82
2633385.0,1143135.0,1849.27
2633415.0,1143135.0,1845.37
2633445.0,1143135.0,1845.19
2633475.0,1143135.0,1833.75
2633505.0,1143135.0,1836.66
2633535.0,1143135.0,1843.54
2633565.0,1143135.0,1844.63
2633595.0,1143135.0,1845.02
2633625.0,1143135.0,1845.79
2633655.0,1143135.0,1847.11
2633685.0,1143135.0,1847.96
2633715.0,1143135.0,1848.81
2633745.0,1143135.0,1849.74
2633775.0,1143135.0,1851.1
2633805.0,1143135.0,1854.06
2633835.0,1143135.0,1856.45
2633865.0,1143135.0,1859.02
2633895.0,1143135.0,1861.77
2633925.0,1143135.0,1863.52
2633955.0,1143135.0,1865.37
2633985.0,1143135.0,1867.8
2634015.0,1143135.0,1869.97
2634045.0,1143135.0,1872.56
2634075.0,1143135.0,1875.41
2633115.0,1143105.0,1887.08
2633145.0,1143105.0,1879.13
2633175.0,1143105.0,1867.44
2633205.0,1143105.0,1853.36
2633235.0,1143105.0,1843.08
2633265.0,1143105.0,1835.2
2633295.0,1143105.0,1830.37
2633325.0,1143105.0,1833.43
2633355.0,1143105.0,1836.51
2633385.0,1143105.0,1835.11
2633415.0,1143105.0,1835.38
2633445.0,1143105.0,1822.76
2633475.0,1143105.0,1833.38
2633505.0,1143105.0,1841.06
2633535.0,1143105.0,1842.61
2633565.0,1143105.0,1844.49
2633595.0,1143105.0,1845.32
2633625.0,1143105.0,1846.49
2633655.0,1143105.0,1847.03
2633685.0,1143105.0,1847.78
2633715.0,1143105.0,1848.88
2633745.0,1143105.0,1850.13
2633775.0,1143105.0,1852.48
2633805.0,1143105.0,1855.46
2633835.0,1143105.0,1859.35
2633865.0,1143105.0,1862.95
2633895.0,1143105.0,1865.7
2633925.0,1143105.0,1868.18
2633955.0,1143105.0,1869.05
2633985.0,1143105.0,1869.14
2634015.0,1143105.0,1870.57
2634045.0,1143105.0,1872.4
2634075.0,1143105.0,1875.59
2634105.0,1143105.0,1880.0
2633055.0,1143075.0,1874.5
2633085.0,1143075.0,1874.87
2633115.0,1143075.0,1857.1
2633145.0,1143075.0,1847.58
2633175.0,1143075.0,1835.21
2633205.0,1143075.0,1828.85
2633235.0,1143075.0,1823.41
2633265.0,1143075.0,1823.59
2633295.0,1143075.0,1824.37
2633325.0,1143075.0,1826.27
2633355.0,1143075.0,1830.16
2633385.0,1143075.0,1832.79
2633415.0,1143075.0,1823.82
2633445.0,1143075.0,1823.47
2633475.0,1143075.0,1837.83
2633505.0,1143075.0,1844.73
2633535.0,1143075.0,1843.92
2633565.0,1143075.0,1844.49
2633595.0,1143075.0,1845.0
2633625.0,1143075.0,1845.82
2633655.0,1143075.0,1846.55
2633685.0,1143075.0,1848.83
2633715.0,1143075.0,1850.67
2633745.0,1143075.0,1852.31
2633775.0,1143075.0,1855.11
2633805.0,1143075.0,1857.67
2633835.0,1143075.0,1863.31
2633865.0,1143075.0,1866.69
2633895.0,1143075.0,1870.29
2633925.0,1143075.0,1873.84
2633955.0,1143075.0,1875.91
2633985.0,1143075.0,1875.38
2634015.0,1143075.0,1872.78
2634045.0,1143075.0,1873.33
2634075.0,1143075.0,1875.97
2634105.0,1143075.0,1880.5
2632995.0,1143045.0,1865.23
2633025.0,1143045.0,1853.61
2633055.0,1143045.0,1849.51
2633085.0,1143045.0,1841.16
2633115.0,1143045.0,1831.43
2633145.0,1143045.0,1823.66
2633175.0,1143045.0,1815.12
2633205.0,1143045.0,1813.07
2633235.0,1143045.0,1817.21
2633265.0,1143045.0,1817.94
2633295.0,1143045.0,1821.35
2633325.0,1143045.0,1824.33
2633355.0,1143045.0,1821.13
2633385.0,1143045.0,1813.26
2633415.0,1143045.0,1815.04
2633445.0,1143045.0,1833.25
2633475.0,1143045.0,1842.71
2633505.0,1143045.0,1843.5
2633535.0,1143045.0,1843.45
2633565.0,1143045.0,1843.66
2633595.0,1143045.0,1844.3
2633625.0,1143045.0,1845.38
2633655.0,1143045.0,1848.05
2633685.0,1143045.0,1850.45
2633715.0,1143045.0,1853.66
2633745.0,1143045.0,1856.06
2633775.0,1143045.0,1857.93
2633805.0,1143045.0,1861.56
2633835.0,1143045.0,1866.89
2633865.0,1143045.0,1871.4
2633895.0,1143045.0,1876.22
2633925.0,1143045.0,1880.25
2633955.0,1143045.0,1882.76
2633985.0,1143045.0,1883.34
2634015.0,1143045.0,1880.25
2634045.0,1143045.0,1877.75
2634075.0,1143045.0,1876.02
2634105.0,1143045.0,1883.03
2634135.0,1143045.0,1887.25
2632965.0,1143015.0,1848.44
2632995.0,1143015.0,1840.12
2633025.0,1143015.0,1835.89
2633055.0,1143015.0,1827.83
2633085.0,1143015.0,1818.07
2633115.0,1143015.0,1813.76
2633145.0,1143015.0,1810.53
2633175.0,1143015.0,1805.15
2633205.0,1143015.0,1797.08
2633235.0,1143015.0,1795.56
2633265.0,1143015.0,1801.71
